epoch,loss,lr,val-loss,train-plannerADE,train-plannerFDE,train-predictorADE,train-predictorFDE,val-plannerADE,val-plannerFDE,val-predictorADE,val-predictorFDE
1,46.44360610961914,0.0002,42.42441918299748,6.652239122390747,16.342470664978027,9.349462127685547,15.274014549255371,4.953719395857591,12.752305782758272,8.9965301660391,14.222092114962065
2,39.7439102935791,0.0002,35.076430540818436,3.6847410583496094,9.662612648010255,8.805269889831543,13.057266464233399,3.11100532916876,8.873324650984545,8.043025273543138,11.40841581271245
3,32.14879829406738,0.0002,27.617477270273064,2.804575242996216,7.570369987487793,7.523956756591797,10.219977626800537,2.9318229464384227,7.8785696763258715,6.53811553808359,8.482653507819542
4,25.49305061340332,0.0002,22.793679567483757,2.6158933353424074,7.074992237091064,6.036098022460937,7.716516399383545,3.0178890319970937,8.341718361927914,5.258252538167513,6.660413375267615
5,21.77962448120117,0.0001,21.060970783233643,2.48917875289917,6.732422027587891,5.078259391784668,6.432984142303467,2.678775484745319,7.269109634252695,4.787157370493962,6.244209821407612
6,29.95328109741211,0.0001,28.03203303997333,5.210628757476806,13.365054931640625,4.778235244750976,6.172319908142089,4.0019833124600925,11.547782274392935,4.601737902714656,6.266000986099243
7,25.680461196899415,0.0001,24.286843299865723,2.947802710533142,8.298913822174072,4.636525430679321,6.2316509628295895,2.7991817822823157,7.466544169646043,4.424475193023682,6.16750064262977
8,23.42544189453125,0.0001,22.742414767925556,2.6055640411376952,6.811371059417724,4.353467111587524,5.793292560577393,3.0016854405403137,7.233222420399006,4.0193982399426975,5.469520807266235
9,21.60757667541504,5e-05,21.931300530066856,2.427010064125061,6.099793109893799,4.062837753295899,5.375256099700928,2.695200163584489,7.056250801453223,3.8479106517938466,5.405481164272015
10,20.761445465087892,5e-05,20.596171159010666,2.2570629024505617,5.6863984107971195,3.902780084609985,5.372304515838623,2.466932338017684,6.4364205323732815,3.753024596434373,5.177938039486225
11,19.61940616607666,5e-05,20.12419788654034,2.0563229656219484,5.176357479095459,3.7340360641479493,5.148560581207275,2.411685668505155,6.28553948035607,3.624840580500089,5.164811464456411
12,18.747203521728515,5e-05,19.49405343715961,1.953218994140625,4.943945951461792,3.55460747718811,4.901273946762085,2.3810163782193112,6.201145951564495,3.4663521418204675,4.97705247768989
13,18.06304958343506,2.5e-05,19.01539582472581,1.8892074155807494,4.71433391571045,3.4177654361724854,4.748604764938355,2.292600081517146,5.943707356086144,3.376747938302847,4.866320903484638
